epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,282.433,0.8724,1.58399,0.95237,0.83948,0.9398,0.99199,0.88104,0.49398,0.98928,0.81026,0.000473611,0.000473611,0.000473611
2,556.516,0.72395,0.84173,0.91911,0.97306,1,0.99338,0.80823,0.76609,0.65018,0.88522,0.000938189,0.000938189,0.000938189
3,829.231,0.71256,0.72997,0.91453,0.96564,0.98116,0.99459,0.9233,0.41596,0.59622,0.79548,0.00139098,0.00139098,0.00139098
4,1108.99,0.65991,0.70653,0.91291,0.99843,1,0.995,0.91088,0.39551,0.43135,0.794,0.00137595,0.00137595,0.00137595
5,1383.84,0.61717,0.65438,0.89546,0.99333,0.9947,0.9914,0.94211,0.34951,0.43125,0.78912,0.00135826,0.00135826,0.00135826
6,1657.69,0.58316,0.5446,0.88988,0.95443,0.93958,0.995,0.96538,0.31154,0.486,0.78085,0.00134058,0.00134058,0.00134058
7,1934.11,0.5609,0.5102,0.88601,0.98646,0.99021,0.995,0.9407,0.34706,0.37664,0.78655,0.0013229,0.0013229,0.0013229
8,2209.41,0.56914,0.49963,0.88758,0.97968,0.99525,0.99495,0.96145,0.27395,0.33551,0.7788,0.00130521,0.00130521,0.00130521
9,2484.06,0.52685,0.44945,0.87395,0.9911,1,0.995,0.94537,0.29888,0.29964,0.77697,0.00128753,0.00128753,0.00128753
10,2758.11,0.53091,0.44039,0.87189,0.97917,0.98359,0.995,0.96945,0.26544,0.32149,0.77441,0.00126985,0.00126985,0.00126985
11,3034.62,0.51716,0.43487,0.87922,0.99896,1,0.995,0.9648,0.2832,0.27034,0.77577,0.00125216,0.00125216,0.00125216
12,3312.24,0.52332,0.42389,0.87435,0.9972,1,0.995,0.96599,0.26379,0.2621,0.77756,0.00123448,0.00123448,0.00123448
13,3586.93,0.50237,0.3914,0.86582,0.999,1,0.995,0.96707,0.25738,0.2352,0.77314,0.00121679,0.00121679,0.00121679
14,3860.88,0.48862,0.39914,0.87001,0.99894,1,0.995,0.98233,0.25484,0.25151,0.77414,0.00119911,0.00119911,0.00119911
15,4135.85,0.49437,0.38282,0.86563,0.99631,1,0.995,0.97978,0.23067,0.24501,0.76972,0.00118143,0.00118143,0.00118143
16,4409.17,0.48011,0.38664,0.86236,0.94053,0.97773,0.99108,0.97762,0.23271,0.33064,0.77396,0.00116374,0.00116374,0.00116374
17,4681.24,0.47438,0.38839,0.86308,0.99915,1,0.995,0.95718,0.30916,0.24559,0.77911,0.00114606,0.00114606,0.00114606
18,4954.05,0.4436,0.35482,0.85337,0.99755,1,0.995,0.95528,0.29821,0.25188,0.77674,0.00112837,0.00112837,0.00112837
19,5226.93,0.46545,0.34928,0.86471,0.99815,1,0.995,0.97506,0.24045,0.22085,0.77137,0.00111069,0.00111069,0.00111069
20,5500.66,0.42508,0.33096,0.84704,0.98536,0.99596,0.995,0.98408,0.23632,0.23201,0.77019,0.00109301,0.00109301,0.00109301
21,5772.91,0.43974,0.32885,0.8569,0.99896,1,0.995,0.97983,0.25613,0.22492,0.77025,0.00107532,0.00107532,0.00107532
22,6045.87,0.4383,0.32886,0.85219,0.9972,0.99945,0.995,0.98299,0.23475,0.20523,0.77146,0.00105764,0.00105764,0.00105764
23,6319.55,0.44745,0.33108,0.85701,0.99893,1,0.995,0.98316,0.21882,0.20024,0.76946,0.00103995,0.00103995,0.00103995
24,6593.24,0.42294,0.31571,0.85726,0.92998,0.97232,0.98669,0.97713,0.22146,0.30688,0.77038,0.00102227,0.00102227,0.00102227
25,6864.61,0.41876,0.32012,0.85103,0.99863,1,0.995,0.98037,0.22474,0.20131,0.77076,0.00100459,0.00100459,0.00100459
26,7136.94,0.42124,0.30757,0.85174,0.99909,1,0.995,0.98538,0.21531,0.18875,0.76901,0.000986903,0.000986903,0.000986903
27,7409.06,0.42075,0.30916,0.85288,0.99808,1,0.995,0.95806,0.29034,0.22619,0.77748,0.000969219,0.000969219,0.000969219
28,7682.13,0.42184,0.30614,0.84959,0.99906,1,0.995,0.9884,0.20477,0.1917,0.76844,0.000951535,0.000951535,0.000951535
29,7954.45,0.41104,0.30849,0.84843,0.99888,1,0.995,0.97835,0.20875,0.19097,0.76662,0.000933851,0.000933851,0.000933851
30,8227.3,0.42193,0.31096,0.85506,0.99913,1,0.995,0.98075,0.22475,0.19665,0.77027,0.000916168,0.000916168,0.000916168
31,8499.54,0.40572,0.29543,0.8526,0.9991,1,0.995,0.98656,0.20377,0.18874,0.76803,0.000898484,0.000898484,0.000898484
32,8776.31,0.3995,0.29435,0.84884,0.99899,1,0.995,0.9874,0.19929,0.1786,0.76652,0.0008808,0.0008808,0.0008808
33,9051.56,0.39556,0.28669,0.8457,0.99671,0.99946,0.995,0.98978,0.19244,0.16635,0.76602,0.000863116,0.000863116,0.000863116
34,9324.11,0.39507,0.28537,0.84643,0.99889,1,0.995,0.98745,0.20663,0.18029,0.76724,0.000845432,0.000845432,0.000845432
35,9597.19,0.38854,0.27724,0.84693,0.99909,1,0.995,0.98687,0.22018,0.18284,0.76842,0.000827748,0.000827748,0.000827748
36,9870.63,0.38515,0.27095,0.84424,0.99908,1,0.995,0.98792,0.19469,0.17007,0.76477,0.000810064,0.000810064,0.000810064
37,10142.4,0.38405,0.27396,0.84796,0.98062,0.97248,0.995,0.98792,0.18978,0.21157,0.76483,0.00079238,0.00079238,0.00079238
38,10416.3,0.37156,0.27027,0.83401,0.99888,1,0.995,0.98616,0.19499,0.16863,0.76449,0.000774697,0.000774697,0.000774697
39,10688.8,0.36961,0.27241,0.83552,0.99825,0.99625,0.995,0.98851,0.19362,0.16309,0.76786,0.000757013,0.000757013,0.000757013
40,10961.9,0.37771,0.26781,0.84337,0.99904,1,0.995,0.98447,0.19173,0.16154,0.76529,0.000739329,0.000739329,0.000739329
41,11234.8,0.36915,0.25443,0.84109,0.99901,1,0.995,0.98767,0.18596,0.1586,0.76414,0.000721645,0.000721645,0.000721645
42,11506.6,0.37081,0.26051,0.83964,0.99612,0.99859,0.995,0.98609,0.19445,0.16517,0.76548,0.000703961,0.000703961,0.000703961
43,11779.6,0.35231,0.2558,0.83368,0.90741,0.91488,0.97804,0.96886,0.18288,0.41217,0.76483,0.000686277,0.000686277,0.000686277
44,12053,0.36057,0.25385,0.83743,0.97859,0.98226,0.99159,0.98467,0.18024,0.19986,0.76314,0.000668593,0.000668593,0.000668593
45,12326.2,0.35804,0.26041,0.83561,0.99897,1,0.995,0.98917,0.19037,0.15662,0.76328,0.000650909,0.000650909,0.000650909
46,12599.4,0.35962,0.24813,0.83859,0.99461,0.99582,0.995,0.98475,0.18563,0.1669,0.76367,0.000633226,0.000633226,0.000633226
47,12871.8,0.36104,0.24959,0.84058,0.99626,0.99945,0.995,0.98618,0.18701,0.16803,0.76286,0.000615542,0.000615542,0.000615542
48,13144.2,0.3664,0.2586,0.84224,0.99843,1,0.995,0.98836,0.18797,0.15578,0.76242,0.000597858,0.000597858,0.000597858
49,13417.3,0.34925,0.23836,0.83619,0.99894,1,0.995,0.98516,0.19723,0.1505,0.76487,0.000580174,0.000580174,0.000580174
50,13690.8,0.35264,0.24036,0.83795,0.99906,1,0.995,0.98841,0.17474,0.15401,0.76279,0.00056249,0.00056249,0.00056249
51,13963.8,0.33953,0.23572,0.83112,0.99043,0.99884,0.995,0.98711,0.1753,0.1548,0.76229,0.000544806,0.000544806,0.000544806
52,14236.8,0.34427,0.23678,0.83572,0.9991,1,0.995,0.98707,0.19334,0.15454,0.76209,0.000527122,0.000527122,0.000527122
53,14509.8,0.35588,0.24015,0.83993,0.99904,1,0.995,0.98775,0.19124,0.15183,0.76317,0.000509438,0.000509438,0.000509438
54,14782.9,0.3446,0.23533,0.83322,0.99895,1,0.995,0.98909,0.1745,0.14318,0.76317,0.000491755,0.000491755,0.000491755
55,15059.3,0.33948,0.23156,0.83539,0.99909,1,0.995,0.98693,0.19344,0.14947,0.76396,0.000474071,0.000474071,0.000474071
56,15333.9,0.32805,0.22692,0.83196,0.99919,1,0.995,0.98941,0.17117,0.1384,0.76242,0.000456387,0.000456387,0.000456387
57,15607.6,0.33339,0.22935,0.83371,0.99766,1,0.995,0.98944,0.17243,0.13997,0.76181,0.000438703,0.000438703,0.000438703
58,15881.5,0.32259,0.22847,0.82903,0.99915,1,0.995,0.988,0.16847,0.1375,0.7617,0.000421019,0.000421019,0.000421019
59,16155,0.31987,0.21599,0.82529,0.99915,1,0.995,0.98508,0.18118,0.14169,0.7631,0.000403335,0.000403335,0.000403335
60,16428.5,0.31683,0.21637,0.82938,0.99919,1,0.995,0.9894,0.16038,0.12819,0.7612,0.000385651,0.000385651,0.000385651
61,16701.2,0.33323,0.22155,0.83661,0.9991,1,0.995,0.98799,0.1699,0.13271,0.76087,0.000367967,0.000367967,0.000367967
62,16974.8,0.31389,0.21339,0.82559,0.99911,1,0.995,0.98918,0.16609,0.13664,0.76128,0.000350284,0.000350284,0.000350284
